tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
Sao Paulo Challenger ,2009-01-05 ,Horacio Zeballos ,Benjamin Becker ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
Sao Paulo Challenger ,2009-01-05 ,Joao Souza ,Kristian Pless ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
Brisbane - Brisbane ,2009-01-05 ,Marc Gicquel/Jo-Wilfried Tsonga ,Mario Ancic/Paul-Henri Mathieu ,2 ,1 ,7 ,4 ,1 , , ,5 ,6 ,4 , ,
Brisbane - Brisbane ,2009-01-05 ,Simon Aspelin/Pavel Vizner ,Julien Benneteau/Michael Llodra ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
Chennai Open - Chennai ,2009-01-05 ,Oliver Marach/Janko Tipsarevic ,Pablo Andujar/Carlos Moya ,2 ,1 ,3 ,6 ,1 , , ,6 ,3 ,4 , ,
Chennai Open - Chennai ,2009-01-05 ,Scott Lipsky/David Martin ,Rohan Bopanna/Flavio Cipolla ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
Chennai Open - Chennai ,2009-01-05 ,Eric Butorac/Rajeev Ram ,Yuki Bhambri/Harsh Mankad ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Jeff Coetzee/Wesley Moodie ,Igor Andreev/Jaroslav Levinsky ,2 ,1 ,6 ,2 ,1 , , ,4 ,6 ,1 , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Christopher Kas/Philipp Kohlschreiber ,Ross Hutchins/Andy Murray ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Lukasz Kubot/Dmitry Tursunov ,Michal Mertinak/Potito Starace ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Fabrice Santoro/Mikhail Youzhny ,Abdulla Al Haji/Lamine Ouahab ,2 ,0 ,6 ,6 , , , ,0 ,2 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Marc Lopez/Rafael Nadal ,Oscar Hernandez/Albert Montanes ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Brisbane - Brisbane ,2009-01-06 ,Michael Llodra ,Joseph Sirianni ,2 ,1 ,5 ,7 ,6 , , ,7 ,6 ,2 , ,
Brisbane - Brisbane ,2009-01-06 ,Paul-Henri Mathieu ,Teimuraz Gabashvili ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Brisbane - Brisbane ,2009-01-06 ,Robin Soderling ,Julien Benneteau ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Brisbane - Brisbane ,2009-01-06 ,Mario Ancic ,Amer Delic ,2 ,1 ,7 ,6 ,7 , , ,6 ,7 ,6 , ,
Brisbane - Brisbane ,2009-01-06 ,Richard Gasquet ,Taylor Dent ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,
Brisbane - Brisbane ,2009-01-06 ,Florent Serra ,Juan Carlos Ferrero ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
Brisbane - Brisbane ,2009-01-06 ,Tomas Berdych ,Brydan Klein ,2 ,0 ,6 ,6 , , , ,0 ,4 , , ,
Brisbane - Brisbane ,2009-01-06 ,Jo-Wilfried Tsonga ,Agustin Calleri ,2 ,0 ,6 ,7 , , , ,2 ,5 , , ,
Brisbane - Brisbane ,2009-01-06 ,Ernests Gulbis ,Novak Djokovic ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Brisbane - Brisbane ,2009-01-06 ,Kei Nishikori ,Bobby Reynolds ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Chennai Open - Chennai ,2009-01-06 ,Carlos Moya ,Danai Udomchoke ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
Chennai Open - Chennai ,2009-01-06 ,Nikolay Davydenko ,Daniel Koellerer ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
Chennai Open - Chennai ,2009-01-06 ,Ivo Karlovic ,Rajeev Ram ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Chennai Open - Chennai ,2009-01-06 ,Janko Tipsarevic ,Pablo Andujar ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Chennai Open - Chennai ,2009-01-06 ,Andreas Beck ,Roko Karanusic ,2 ,0 ,6 ,6 , , , ,1 ,0 , , ,
Chennai Open - Chennai ,2009-01-06 ,Ivo Minar ,Wayne Odesnik ,2 ,0 ,6 ,6 , , , ,3 ,0 , , ,
Chennai Open - Chennai ,2009-01-06 ,Denis Istomin ,Rohan Bopanna ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
Chennai Open - Chennai ,2009-01-06 ,Flavio Cipolla ,Stan Wawrinka ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
Chennai Open - Chennai ,2009-01-06 ,Somdev Devvarman ,Kevin Kim ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Hopman Cup - Perth ,2009-01-06 ,Lleyton Hewitt ,Nicolas Kiefer ,2 ,1 ,6 ,6 ,6 , , ,7 ,3 ,2 , ,
Hopman Cup - Perth ,2009-01-06 ,Lleyton Hewitt ,Dominik Hrbaty ,2 ,1 ,7 ,6 ,6 , , ,6 ,7 ,4 , ,
Noumea Challenger ,2009-01-06 ,Jean-Christophe Faurel ,Daniel Brands ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,4 , ,
Noumea Challenger ,2009-01-06 ,Paolo Lorenzi ,Riccardo Ghedin ,2 ,1 ,6 ,4 ,7 , , ,3 ,6 ,6 , ,
Qatar ExxonMobil Open - Doha ,2009-01-06 ,Arnaud Clement ,Diego Junqueira ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-06 ,Roger Federer ,Potito Starace ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-06 ,Mikhail Youzhny ,Igor Andreev ,2 ,1 ,4 ,6 ,6 , , ,6 ,3 ,4 , ,
Qatar ExxonMobil Open - Doha ,2009-01-06 ,Alexander Peya ,Dmitry Tursunov ,2 ,1 ,2 ,6 ,6 , , ,6 ,3 ,4 , ,
Qatar ExxonMobil Open - Doha ,2009-01-06 ,Rafael Nadal ,Fabrice Santoro ,2 ,0 ,6 ,6 , , , ,0 ,1 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-06 ,Philipp Kohlschreiber ,Marco Chiudinelli ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-06 ,Karol Beck ,Michal Przysiezny ,2 ,1 ,4 ,6 ,7 , , ,6 ,4 ,5 , ,
Qatar ExxonMobil Open - Doha ,2009-01-06 ,Kristof Vliegen ,Oscar Hernandez ,2 ,1 ,6 ,6 ,7 , , ,1 ,7 ,6 , ,
Qatar ExxonMobil Open - Doha ,2009-01-06 ,Andy Murray ,Albert Montanes ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Sao Paulo Challenger ,2009-01-06 ,Ricardo Mello ,Pablo Cuevas ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
Sao Paulo Challenger ,2009-01-06 ,Marcos Daniel ,Fernando Vicente ,2 ,1 ,7 ,3 ,6 , , ,6 ,6 ,1 , ,
Sao Paulo Challenger ,2009-01-06 ,Juan-Pablo Brzezicki ,Sergio Roitman ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,1 , ,
Sao Paulo Challenger ,2009-01-06 ,Paul Capdeville ,Daniel Dutra Da Silva ,2 ,1 ,6 ,6 ,7 , , ,2 ,7 ,5 , ,
Sao Paulo Challenger ,2009-01-06 ,Sebastian Decoud ,Flavio Saretta ,2 ,1 ,4 ,6 ,7 , , ,6 ,3 ,6 , ,
Sao Paulo Challenger ,2009-01-06 ,Rogerio Dutra Da Silva ,Brian Dabul ,2 ,1 ,4 ,6 ,6 , , ,6 ,3 ,2 , ,
