Heineken Open - Auckland ,09.01.03 ,Guillermo Coria ,Fernando Vicente ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Heineken Open - Auckland ,09.01.03 ,Jiri Novak ,Robby Ginepri ,2 ,1 ,1 ,7 ,6 , , ,6 ,6 ,3 , ,
Heineken Open - Auckland ,09.01.03 ,Mariano Zabaleta ,Vince Spadea ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Heineken Open - Auckland ,09.01.03 ,Felix Mantilla ,Kenneth Carlsen ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Heineken Open - Auckland ,09.01.03 ,Stefan Koubek ,Raemon Sluiter ,2 ,1 ,6 ,3 ,6 , , ,3 ,6 ,1 , ,
Heineken Open - Auckland ,09.01.03 ,David Ferrer ,Fernando Gonzalez ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Adidas International - Sydney ,10.01.03 ,Juan Carlos Ferrero ,Rainer Schuettler ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,2 , ,
Adidas International - Sydney ,10.01.03 ,Hyung-Taik Lee ,Wayne Ferreira ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Adidas International - Sydney ,11.01.03 ,Hyung-Taik Lee ,Juan Carlos Ferrero ,2 ,1 ,4 ,7 ,7 , , ,6 ,6 ,6 , ,
Heineken Open - Auckland ,11.01.03 ,Gustavo Kuerten ,Mariano Zabaleta ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Heineken Open - Auckland ,11.01.03 ,Gustavo Kuerten ,Guillermo Coria ,2 ,1 ,7 ,4 ,6 , , ,5 ,6 ,2 , ,
Heineken Open - Auckland ,11.01.03 ,Dominik Hrbaty ,Felix Mantilla ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Heineken Open - Auckland ,11.01.03 ,Dominik Hrbaty ,David Ferrer ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
Heineken Open - Auckland ,11.01.03 ,Mariano Zabaleta ,Stefan Koubek ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
Heineken Open - Auckland ,11.01.03 ,Felix Mantilla ,Jiri Novak ,2 ,1 ,6 ,6 ,7 , , ,7 ,2 ,6 , ,
Australian Open - Melbourne ,12.01.03 ,Mark Philippoussis ,Martin Verkerk ,3 ,1 ,6 ,6 ,6 ,6 , ,4 ,4 ,7 ,3 ,
Australian Open - Melbourne ,12.01.03 ,Wayne Arthurs ,Marcos Daniel ,3 ,2 ,6 ,3 ,7 ,6 ,6 ,7 ,6 ,6 ,4 ,4
Heineken Open - Auckland ,12.01.03 ,Gustavo Kuerten ,Dominik Hrbaty ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
Australian Open - Melbourne ,13.01.03 ,Andre Agassi ,Brian Vahaly ,3 ,0 ,7 ,6 ,6 , , ,5 ,3 ,3 , ,
Australian Open - Melbourne ,13.01.03 ,Yevgeny Kafelnikov ,Jeff Morrison ,3 ,1 ,7 ,6 ,4 ,6 , ,6 ,3 ,6 ,3 ,
Australian Open - Melbourne ,13.01.03 ,Juan Carlos Ferrero ,Franco Squillari ,3 ,1 ,7 ,3 ,6 ,6 , ,6 ,6 ,2 ,3 ,
Australian Open - Melbourne ,13.01.03 ,Sebastien Grosjean ,Fernando Meligeni ,3 ,0 ,6 ,6 ,6 , , ,4 ,2 ,3 , ,
Australian Open - Melbourne ,13.01.03 ,Jan-Michael Gambill ,Michael Llodra ,3 ,2 ,6 ,7 ,6 ,4 ,6 ,2 ,5 ,7 ,6 ,2
Australian Open - Melbourne ,13.01.03 ,Wayne Ferreira ,Tommy Robredo ,3 ,1 ,5 ,6 ,6 ,6 , ,7 ,0 ,3 ,4 ,
Australian Open - Melbourne ,13.01.03 ,Carlos Moya ,Dick Norman ,3 ,0 ,7 ,6 ,6 , , ,5 ,3 ,4 , ,
Australian Open - Melbourne ,13.01.03 ,Sjeng Schalken ,Jack Brasington ,3 ,0 ,6 ,6 ,7 , , ,4 ,2 ,6 , ,
Australian Open - Melbourne ,13.01.03 ,Guillermo Coria ,Francisco Clavet ,3 ,0 ,6 ,7 ,6 , , ,4 ,5 ,1 , ,
Australian Open - Melbourne ,13.01.03 ,Nicolas Escude ,Gouichi Motomura ,3 ,1 ,6 ,2 ,6 ,6 , ,1 ,6 ,3 ,2 ,
Australian Open - Melbourne ,13.01.03 ,Gaston Gaudio ,Thomas Enqvist ,3 ,0 ,7 ,7 ,6 , , ,5 ,5 ,2 , ,
Australian Open - Melbourne ,13.01.03 ,Nicolas Lapentti ,Julien Benneteau ,3 ,0 ,6 ,6 ,6 , , ,0 ,4 ,0 , ,
Australian Open - Melbourne ,13.01.03 ,Albert Costa ,David Prinosil ,3 ,1 ,6 ,6 ,3 ,7 , ,4 ,1 ,6 ,6 ,
Australian Open - Melbourne ,13.01.03 ,Fabrice Santoro ,Bjorn Phau ,3 ,0 ,6 ,6 ,6 , , ,4 ,3 ,4 , ,
Australian Open - Melbourne ,13.01.03 ,Michel Kratochvil ,Davide Sanguinetti ,3 ,0 ,6 ,6 ,6 , , ,3 ,0 ,3 , ,
Australian Open - Melbourne ,13.01.03 ,Hyung-Taik Lee ,David Ferrer ,3 ,1 ,5 ,6 ,6 ,6 , ,7 ,2 ,2 ,3 ,
Australian Open - Melbourne ,13.01.03 ,David Sanchez-Munoz ,Kristian Pless ,3 ,2 ,5 ,6 ,1 ,6 ,1 ,7 ,3 ,6 ,4 ,8
Australian Open - Melbourne ,13.01.03 ,Guillermo Canas ,Vladimir Voltchkov ,3 ,0 ,6 ,7 ,6 , , ,3 ,5 ,3 , ,
Australian Open - Melbourne ,13.01.03 ,Felix Mantilla ,Mariano Zabaleta ,3 ,2 ,4 ,7 ,6 ,4 ,6 ,6 ,5 ,3 ,6 ,4
Australian Open - Melbourne ,13.01.03 ,Karol Kucera ,Jan Vacek ,3 ,0 ,6 ,6 ,6 , , ,2 ,1 ,4 , ,
Australian Open - Melbourne ,13.01.03 ,Andy Roddick ,Zeljko Krajan ,3 ,1 ,6 ,6 ,7 ,6 , ,7 ,2 ,6 ,3 ,
Australian Open - Melbourne ,13.01.03 ,Christophe Rochus ,Irakli Labadze ,3 ,0 ,6 ,6 ,6 , , ,2 ,3 ,4 , ,
Australian Open - Melbourne ,13.01.03 ,Scott Draper ,Alex Kim ,3 ,1 ,7 ,6 ,3 ,6 , ,5 ,3 ,6 ,3 ,
Australian Open - Melbourne ,13.01.03 ,Sargis Sargsian ,Agustin Calleri ,3 ,1 ,6 ,3 ,7 ,6 , ,4 ,6 ,6 ,0 ,
Australian Open - Melbourne ,13.01.03 ,Renzo Furlan ,Andrei Pavel ,1 ,0 ,4 , , , , ,1 , , , ,
Australian Open - Melbourne ,13.01.03 ,Paradorn Srichaphan ,Jurgen Melzer ,3 ,1 ,7 ,6 ,1 ,6 , ,5 ,4 ,6 ,0 ,
Australian Open - Melbourne ,13.01.03 ,Jean-Rene Lisnard ,Andrea Gaudenzi ,3 ,2 ,6 ,2 ,6 ,4 ,6 ,4 ,6 ,1 ,6 ,1
Australian Open - Melbourne ,13.01.03 ,Mardy Fish ,Joachim Johansson ,3 ,0 ,6 ,7 ,6 , , ,3 ,5 ,2 , ,
Australian Open - Melbourne ,13.01.03 ,Jarkko Nieminen ,Nikolay Davydenko ,3 ,2 ,6 ,3 ,3 ,6 ,7 ,3 ,6 ,6 ,2 ,5
Australian Open - Melbourne ,13.01.03 ,Mario Ancic ,Alexander Waske ,3 ,0 ,6 ,6 ,7 , , ,3 ,4 ,6 , ,
Australian Open - Melbourne ,13.01.03 ,Peter Luczak ,Attila Savolt ,3 ,0 ,7 ,6 ,6 , , ,5 ,2 ,4 , ,
Australian Open - Melbourne ,14.01.03 ,Gustavo Kuerten ,Hicham Arazi ,3 ,0 ,6 ,7 ,6 , , ,4 ,6 ,3 , ,
Australian Open - Melbourne ,14.01.03 ,Marat Safin ,Raemon Sluiter ,3 ,1 ,6 ,4 ,6 ,6 , ,4 ,6 ,3 ,4 ,
Australian Open - Melbourne ,14.01.03 ,Lleyton Hewitt ,Magnus Larsson ,3 ,2 ,6 ,3 ,6 ,6 ,6 ,3 ,6 ,1 ,7 ,2
Australian Open - Melbourne ,14.01.03 ,Roger Federer ,Flavio Saretta ,3 ,0 ,7 ,7 ,6 , , ,6 ,5 ,3 , ,
Australian Open - Melbourne ,14.01.03 ,Fernando Vicente ,Luis Horna ,3 ,2 ,3 ,4 ,6 ,7 ,6 ,6 ,6 ,3 ,6 ,1
Australian Open - Melbourne ,14.01.03 ,Richard Krajicek ,Todd Reid ,3 ,1 ,3 ,6 ,6 ,6 , ,6 ,2 ,2 ,1 ,
Australian Open - Melbourne ,14.01.03 ,Rainer Schuettler ,Albert Portas ,3 ,0 ,6 ,6 ,6 , , ,3 ,2 ,0 , ,
Australian Open - Melbourne ,14.01.03 ,Andreas Vinciguerra ,Stefan Koubek ,3 ,0 ,6 ,6 ,6 , , ,4 ,4 ,1 , ,
Australian Open - Melbourne ,14.01.03 ,Younes El Aynaoui ,Justin Gimelstob ,1 ,0 ,2 ,4 ,6 ,1 , ,6 ,6 ,4 ,0 ,
Australian Open - Melbourne ,14.01.03 ,Alberto Martin ,Alex Jr. Bogomolov ,3 ,2 ,6 ,6 ,6 ,4 ,6 ,2 ,4 ,7 ,6 ,1
Australian Open - Melbourne ,14.01.03 ,Jiri Novak ,Vince Spadea ,3 ,1 ,6 ,2 ,6 ,7 , ,2 ,6 ,2 ,6 ,
Australian Open - Melbourne ,14.01.03 ,Olivier Rochus ,Arnaud Di Pasquale ,3 ,2 ,4 ,4 ,6 ,6 ,6 ,6 ,6 ,3 ,3 ,4
Australian Open - Melbourne ,14.01.03 ,Mikhail Youzhny ,Richard Gasquet ,3 ,1 ,3 ,6 ,6 ,6 , ,6 ,0 ,1 ,4 ,
