tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Heineken Open - Auckland" ,2004-01-12 ,"Jared Palmer/Pavel Vizner" ,"Devin Bowen/Alberto Martin" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
"Heineken Open - Auckland" ,2004-01-12 ,"Mahesh Bhupathi/Fabrice Santoro" ,"Gaston Gaudio/Nicolas Lapentti" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"Heineken Open - Auckland" ,2004-01-12 ,"Mark Nielsen/Simon Rea" ,"Daniel King Turner/Matthew Prentice" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
"Adidas International - Sydney" ,2004-01-13 ,"Bob Bryan/Mike Bryan" ,"Nathan Healey/Jordan Kerr" ,2 ,1 ,6 ,6 ,6 , , ,7 ,4 ,3 , ,
"Adidas International - Sydney" ,2004-01-13 ,"Martin Damm/Cyril Suk" ,"Juan Ignacio Chela/Nicolas Massu" ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
"Adidas International - Sydney" ,2004-01-13 ,"Yves Allegro/Rainer Schuettler" ,"Tom Vanhoudt/Martin Verkerk" ,2 ,1 ,3 ,7 ,7 , , ,6 ,6 ,5 , ,
"Heineken Open - Auckland" ,2004-01-13 ,"Gaston Etlis/Martin Rodriguez" ,"Martin Garcia/Fernando Gonzalez" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Heineken Open - Auckland" ,2004-01-13 ,"Jiri Novak/Radek Stepanek" ,"Scott Humphries/Mark Merklein" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"Heineken Open - Auckland" ,2004-01-13 ,"Jarkko Nieminen/Graydon Oliver" ,"Simon Aspelin/Massimo Bertolini" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
"Heineken Open - Auckland" ,2004-01-13 ,"Jan Michael Gambill/Brian MacPhie" ,"Robbie Koenig/Petr Pala" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Adidas International - Sydney" ,2004-01-14 ,"Yves Allegro/Rainer Schuettler" ,"Wayne Arthurs/Paul Hanley" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Adidas International - Sydney" ,2004-01-14 ,"Jonathan Erlich/Sebastian Prieto" ,"Joshua Eagle/Nenad Zimonjic" ,2 ,1 ,6 ,3 ,6 , , ,3 ,6 ,0 , ,
"Adidas International - Sydney" ,2004-01-14 ,"Agustin Calleri/Filippo Volandri" ,"Martin Damm/Cyril Suk" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
"Heineken Open - Auckland" ,2004-01-14 ,"Jeff Coetzee/Chris Haggard" ,"Mark Nielsen/Simon Rea" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Heineken Open - Auckland" ,2004-01-14 ,"Jiri Novak/Radek Stepanek" ,"Gaston Etlis/Martin Rodriguez" ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
"Heineken Open - Auckland" ,2004-01-14 ,"Jared Palmer/Pavel Vizner" ,"Jarkko Nieminen/Graydon Oliver" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
