tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,level,surface,federation
"Noumea Challenger" ,2019-01-02 00:00:00 ,"Donald Young" ,"Kimmer Coppejans" ,2 ,1 ,3 ,6 ,7 , , ,6 ,1 ,6 , ,,Hard,challeger,ATP
"Noumea Challenger" ,2019-01-02 00:00:00 ,"Noah Rubin" ,"Marc Andrea Huesler" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,,Hard,challeger,ATP
"Noumea Challenger" ,2019-01-02 00:00:00 ,"Gregoire Barrere" ,"Viktor Galovic" ,2 ,1 ,3 ,6 ,6 , , ,6 ,2 ,3 , ,,Hard,challeger,ATP
"Noumea Challenger" ,2019-01-02 00:00:00 ,"Dustin Brown" ,"Stephane Robert" ,2 ,1 ,6 ,3 ,6 , , ,3 ,6 ,0 , ,,Hard,challeger,ATP
"Noumea Challenger" ,2019-01-02 00:00:00 ,"Salvatore Caruso" ,"Tak Khunn Wang" ,2 ,0 ,7 ,7 , , , ,5 ,6 , , ,,Hard,challeger,ATP
"Noumea Challenger" ,2019-01-02 00:00:00 ,"Gleb Sakharov" ,"Kenny de Schepper" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,,Hard,challeger,ATP
"Noumea Challenger" ,2019-01-02 00:00:00 ,"Jose Statham" ,"Quentin Halys" ,2 ,1 ,6 ,6 ,7 , , ,7 ,4 ,6 , ,,Hard,challeger,ATP
"Noumea Challenger" ,2019-01-02 00:00:00 ,"Elliot Benchetrit" ,"Tommy Robredo" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,,Hard,challeger,ATP
"Noumea Challenger" ,2019-01-02 00:00:00 ,"Mikael Ymer" ,"Nikola Milojevic" ,2 ,1 ,4 ,7 ,6 , , ,6 ,5 ,4 , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-02 00:00:00 ,"Gastao Elias" ,"Enzo Couacaud" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-02 00:00:00 ,"Roberto Cid" ,"Goncalo Oliveira" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-02 00:00:00 ,"Michael Redlicki" ,"Jc Aragone" ,2 ,1 ,1 ,6 ,6 , , ,6 ,4 ,3 , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-02 00:00:00 ,"Kevin King" ,"Tom Jomby" ,2 ,0 ,6 ,6 , , , ,3 ,0 , , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-02 00:00:00 ,"Gijs Brouwer" ,"Bernabe Zapata Miralles" ,2 ,1 ,1 ,6 ,6 , , ,6 ,1 ,2 , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-02 00:00:00 ,"Ulises Blanch" ,"Thiemo de Bakker" ,2 ,1 ,7 ,4 ,6 , , ,5 ,6 ,3 , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-02 00:00:00 ,"Mathias Bourgue" ,"Lucas Miedler" ,2 ,1 ,6 ,2 ,6 , , ,4 ,6 ,3 , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-02 00:00:00 ,"Stefan Kozlov" ,"Mitchell Krueger" ,2 ,1 ,6 ,5 ,6 , , ,2 ,7 ,3 , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-02 00:00:00 ,"Nino Serdarusic" ,"Scott Griekspoor" ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-02 00:00:00 ,"Zhe Li" ,"Adrian Menendez Maceiras" ,2 ,1 ,6 ,6 ,6 , , ,7 ,3 ,3 , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-02 00:00:00 ,"Dominik Koepfer" ,"Go Soeda" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-02 00:00:00 ,"Casper Ruud" ,"Arthur De Greef" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-02 00:00:00 ,"Luca Vanni" ,"Kamil Majchrzak" ,2 ,1 ,7 ,4 ,6 , , ,6 ,6 ,4 , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-02 00:00:00 ,"Constant Lestienne" ,"Aleksandar Vukic" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-02 00:00:00 ,"Enrique Lopez Perez" ,"Stefano Travaglia" ,2 ,1 ,4 ,6 ,7 , , ,6 ,3 ,5 , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-02 00:00:00 ,"Lorenzo Sonego" ,"Zdenek Kolar" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-02 00:00:00 ,"Mats Moraing" ,"Ernesto Escobedo" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-02 00:00:00 ,"Oscar Otte" ,"Viktor Troicki" ,2 ,1 ,4 ,6 ,7 , , ,6 ,1 ,5 , ,,Hard,challeger,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-02 00:00:00 ,"Stan Wawrinka" ,"Nicolas Jarry" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,,Hard,atp,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-02 00:00:00 ,"Roberto Bautista Agut" ,"Guillermo Garcia Lopez" ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,,Hard,atp,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-02 00:00:00 ,"Dusan Lajovic" ,"Richard Berankis" ,2 ,1 ,7 ,0 ,7 , , ,6 ,6 ,5 , ,,Hard,atp,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-02 00:00:00 ,"Novak Djokovic" ,"Marton Fucsovics" ,2 ,1 ,4 ,6 ,6 , , ,6 ,4 ,1 , ,,Hard,atp,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-02 00:00:00 ,"Marco Cecchinato" ,"Guido Pella" ,1 ,0 ,w , , , , , , , , ,,Hard,atp,ATP
